name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Selenomonas dianae	135079	S	755	0	755	0.00008
Selenomonas timonae	2754044	S	488	128	616	0.00007
Megamonas funiformis	437897	S	573	43	616	0.00007
Megamonas hypermegale	158847	S	549	44	593	0.00007
Pectinatus frisingensis	865	S	320	13	333	0.00004
uncultured Sporomusa sp.	307249	S	503	0	503	0.00006
Sporomusa termitida	2377	S	252	28	280	0.00003
Pelosinus sp. UFO1	484770	S	212	58	270	0.00003
Pelosinus fermentans	365349	S	167	14	181	0.00002
Methylomusa anaerophila	1930071	S	272	10	282	0.00003
Catenibacterium mitsuokai	100886	S	6965	0	6965	0.00077
Catenibacterium sp. co_0103	2478954	S	6121	0	6121	0.00067
[Clostridium] innocuum	1522	S	4230	143	4373	0.00048
Thomasclavelia ramosa	1547	S	3500	25	3525	0.00039
Thomasclavelia spiroformis	29348	S	576	0	576	0.00006
Faecalibacillus intestinalis	1982626	S	1939	428	2367	0.00026
Bulleidia sp. zg-1006	2806552	S	1622	24	1646	0.00018
Allobaculum mucilyticum	2834459	S	727	0	727	0.00008
Allobaculum sp. Allo2	2853432	S	581	0	581	0.00006
Longicatena caecimuris	1796635	S	1388	0	1388	0.00015
Erysipelothrix sp. HDW6B	2714929	S	148	37	185	0.00002
Erysipelothrix sp. HDW6A	2714928	S	129	9	138	0.00002
Erysipelothrix sp. HDW6C	2714930	S	117	16	133	0.00001
Erysipelothrix sp. A18Y020d	2929157	S	56	0	56	0.00001
Erysipelothrix larvae	1514105	S	236	12	248	0.00003
Erysipelothrix inopinata	225084	S	189	41	230	0.00003
Erysipelothrix piscisicarius	2485784	S	105	209	314	0.00003
Erysipelothrix rhusiopathiae	1648	S	73	102	175	0.00002
Faecalibaculum rodentium	1702221	S	1116	2	1118	0.00012
Amedibacterium intestinale	2583452	S	985	509	1494	0.00016
Intestinibaculum porci	2487118	S	957	19	976	0.00011
Allocoprobacillus halotolerans	2944914	S	824	0	824	0.00009
Tannockella kyphosi	2899121	S	525	0	525	0.00006
Turicibacter sp. TJ11	2806443	S	284	0	284	0.00003
Turicibacter sanguinis	154288	S	190	247	437	0.00005
Turicibacter bilis	2735723	S	72	0	72	0.00001
Peptoniphilus ivorii	54006	S	394	48	442	0.00005
Peptoniphilus sp. CBA3646	3016343	S	257	0	257	0.00003
Peptoniphilus sp. SAHP1	2948573	S	131	0	131	0.00001
Peptoniphilus harei	54005	S	268	59	327	0.00004
Anaerococcus prevotii	33034	S	277	27	304	0.00003
Anaerococcus sp. Marseille-Q7828	3036300	S	202	0	202	0.00002
Anaerococcus mediterraneensis	1870984	S	192	33	225	0.00002
Anaerococcus obesiensis	1287640	S	99	219	318	0.00004
Anaerococcus vaginalis	33037	S	34	78	112	0.00001
Finegoldia magna	1260	S	724	125	849	0.00009
Parvimonas micra	33033	S	670	73	743	0.00008
Murdochiella vaginalis	1852373	S	660	38	698	0.00008
Miniphocaeibacter halophilus	2931922	S	341	0	341	0.00004
Helcococcus kunzii	40091	S	230	0	230	0.00003
Gudongella oleilytica	1582259	S	448	24	472	0.00005
Tissierella sp. Yu-01	3035694	S	299	0	299	0.00003
Keratinibaculum paraultunense	1278232	S	246	9	255	0.00003
Schnuerera ultunensis	45497	S	110	1	111	0.00001
Gottschalkia acidurici	1556	S	350	5	355	0.00004
Acidilutibacter cellobiosedens	2507161	S	323	9	332	0.00004
Caloranaerobacter azorensis	116090	S	232	12	244	0.00003
Ezakiella massiliensis	1852374	S	389	30	419	0.00005
Ezakiella coagulans	46507	S	256	0	256	0.00003
Sedimentibacter sp. zth1	2816908	S	265	0	265	0.00003
Ndongobacter massiliensis	1871025	S	422	20	442	0.00005
Limnochorda pilosa	1555112	S	269	0	269	0.00003
endosymbiont 'TC1' of Trimyema compressum	243899	S	245	0	245	0.00003
Bifidobacterium adolescentis	1680	S	328258	39632	367890	0.04053
Bifidobacterium dentium	1689	S	229894	9818	239712	0.02641
Bifidobacterium catenulatum	1686	S	175395	89873	265268	0.02922
Bifidobacterium angulatum	1683	S	147458	12635	160093	0.01764
Bifidobacterium sp. ESL0790	2983233	S	21018	0	21018	0.00232
Bifidobacterium sp. ESL0775	2983230	S	14540	0	14540	0.00160
Bifidobacterium sp. ESL0728	2983220	S	11702	0	11702	0.00129
Bifidobacterium sp. ESL0690	2983214	S	8780	0	8780	0.00097
Bifidobacterium sp. ESL0769	2983229	S	8439	0	8439	0.00093
Bifidobacterium sp. ESL0732	2983222	S	7705	0	7705	0.00085
Bifidobacterium sp. ESL0682	2983212	S	6907	0	6907	0.00076
Bifidobacterium sp. ESL0764	2983228	S	4220	0	4220	0.00046
Bifidobacterium sp. ESL0800	2983236	S	4213	0	4213	0.00046
Bifidobacterium sp. ESL0704	2983219	S	3510	0	3510	0.00039
Bifidobacterium sp. ESL0798	2983235	S	2453	0	2453	0.00027
Bifidobacterium sp. KRGSERBCFTRI	2985571	S	68	0	68	0.00001
Bifidobacterium pseudocatenulatum	28026	S	125249	57733	182982	0.02016
Bifidobacterium longum	216816	S	95559	95648	191207	0.02107
Bifidobacterium scardovii	158787	S	87050	1666	88716	0.00977
Bifidobacterium pseudolongum	1694	S	60639	1796	62435	0.00688
Bifidobacterium pullorum	78448	S	57696	4684	62380	0.00687
Bifidobacterium breve	1685	S	52192	43479	95671	0.01054
Bifidobacterium lemurum	1603886	S	34923	6655	41578	0.00458
Bifidobacterium eulemuris	1765219	S	33822	6638	40460	0.00446
Bifidobacterium choerinum	35760	S	30326	1473	31799	0.00350
Bifidobacterium thermophilum	33905	S	29900	645	30545	0.00337
Bifidobacterium subtile	77635	S	27133	307	27440	0.00302
Bifidobacterium bifidum	1681	S	20634	2837	23471	0.00259
Bifidobacterium saguini	762210	S	13920	8406	22326	0.00246
Bifidobacterium asteroides	1684	S	13176	0	13176	0.00145
Bifidobacterium imperatoris	2020965	S	12782	7881	20663	0.00228
Bifidobacterium animalis	28025	S	12669	68301	80970	0.00892
Bifidobacterium actinocoloniiforme	638619	S	6649	19	6668	0.00073
Bifidobacterium coryneforme	1687	S	1091	1528	2619	0.00029
Bifidobacterium indicum	1691	S	179	254	433	0.00005
Parascardovia denticolens	78258	S	1351	13	1364	0.00015
Gardnerella vaginalis	2702	S	326	223	549	0.00006
Gardnerella swidsinskii	2792979	S	79	0	79	0.00001
Gardnerella leopoldii	2792978	S	27	120	147	0.00002
Gardnerella piotii	2792977	S	13	0	13	0.00000
Scardovia inopinata	78259	S	134	2	136	0.00001
Microbacterium sp.	51671	S	329	0	329	0.00004
Microbacterium sp. SSW1-51	2851650	S	326	0	326	0.00004
Microbacterium sp. ET2 (Ac-2212)	3050384	S	252	0	252	0.00003
Microbacterium sp. zg-Y1090	3049073	S	243	0	243	0.00003
Microbacterium sp. No. 7	1714373	S	221	125	346	0.00004
Microbacterium sp. KUDC0406	2909588	S	203	0	203	0.00002
Microbacterium sp. nov. GSS16	3019890	S	188	0	188	0.00002
Microbacterium sp. JZ31	1906274	S	179	43	222	0.00002
Microbacterium sp. NIBRBAC000506063	2734618	S	174	0	174	0.00002
Microbacterium sp. 1.5R	1916917	S	169	410	579	0.00006
Microbacterium sp. LKL04	912630	S	157	43	200	0.00002
Microbacterium sp. H1-D42	2925844	S	142	0	142	0.00002
Microbacterium sp. KACC 23027	3028316	S	136	0	136	0.00001
Microbacterium sp. cx-55	2875948	S	133	0	133	0.00001
Microbacterium sp. ABRD28	2268461	S	128	13	141	0.00002
Microbacterium sp. CGR1	1696072	S	127	341	468	0.00005
Microbacterium sp. PM5	2014534	S	123	24	147	0.00002
Microbacterium sp. zg-B96	3049069	S	119	0	119	0.00001
Microbacterium sp. YJN-G	2763257	S	99	52	151	0.00002
Microbacterium sp. 4R-513	2567934	S	90	15	105	0.00001
Microbacterium sp. Nx66	2766784	S	88	279	367	0.00004
Microbacterium sp. 10M-3C3	2483401	S	83	21	104	0.00001
Microbacterium sp. SL75	2995140	S	83	0	83	0.00001
Microbacterium sp. Clip185	3025663	S	82	0	82	0.00001
Microbacterium sp. BDGP8	3035531	S	81	0	81	0.00001
Microbacterium sp. zg-Y625	3049071	S	76	0	76	0.00001
Microbacterium sp. M28	2962064	S	75	0	75	0.00001
Microbacterium sp. zg-B185	3049070	S	70	0	70	0.00001
Microbacterium sp. XT11	367477	S	63	16	79	0.00001
Microbacterium sp. A18JL241	2782166	S	62	11	73	0.00001
Microbacterium sp. zg-Y818	3049072	S	59	0	59	0.00001
Microbacterium sp. SSW1-36	2851648	S	58	0	58	0.00001
Microbacterium sp. BH-3-3-3	1906742	S	56	13	69	0.00001
Microbacterium sp. Y-01	2048898	S	52	41	93	0.00001
Microbacterium sp. TPU 3598	1938334	S	43	18	61	0.00001
Microbacterium sp. RG1	2489212	S	41	7	48	0.00001
Microbacterium sp. 1S1	2606451	S	38	93	131	0.00001
Microbacterium sp. SGAir0570	2070348	S	16	197	213	0.00002
Microbacterium sp. PAMC22086	2861281	S	12	0	12	0.00000
Microbacterium sp. J1-1	2992441	S	12	0	12	0.00000
Microbacterium sp. PAMC 28756	1795053	S	10	49	59	0.00001
Microbacterium testaceum	2033	S	568	59	627	0.00007
Microbacterium esteraromaticum	57043	S	542	161	703	0.00008
Microbacterium foliorum	104336	S	515	188	703	0.00008
Microbacterium suwonense	683047	S	361	0	361	0.00004
Microbacterium oxydans	82380	S	348	224	572	0.00006
Microbacterium oleivorans	273677	S	343	75	418	0.00005
Microbacterium hominis	162426	S	339	144	483	0.00005
Microbacterium lushaniae	2614639	S	292	87	379	0.00004
Microbacterium oryzae	743009	S	285	66	351	0.00004
Microbacterium chengjingii	2769067	S	238	8	246	0.00003
Microbacterium amylolyticum	936337	S	232	47	279	0.00003
Microbacterium azadirachtae	582680	S	222	0	222	0.00002
Microbacterium chocolatum	84292	S	220	58	278	0.00003
Microbacterium aurum	36805	S	204	84	288	0.00003
Microbacterium resistens	156977	S	196	0	196	0.00002
Microbacterium cremeum	2782169	S	185	35	220	0.00002
Microbacterium caowuchunii	2614638	S	171	33	204	0.00002
Microbacterium lemovicicum	1072463	S	171	34	205	0.00002
Microbacterium elymi	2909587	S	167	0	167	0.00002
Microbacterium protaetiae	2509458	S	159	51	210	0.00002
Microbacterium fandaimingii	2708079	S	159	6	165	0.00002
Microbacterium sediminis	904291	S	138	95	233	0.00003
Microbacterium endophyticum	1526412	S	127	11	138	0.00002
Microbacterium luteolum	69367	S	126	0	126	0.00001
Microbacterium proteolyticum	1572644	S	125	0	125	0.00001
Microbacterium luteum	2782167	S	118	80	198	0.00002
Microbacterium paraoxydans	199592	S	115	2312	2427	0.00027
Microbacterium binotii	462710	S	114	0	114	0.00001
Microbacterium pygmaeum	370764	S	111	12	123	0.00001
Microbacterium wangchenii	2541726	S	107	31	138	0.00002
Microbacterium schleiferi	69362	S	91	30	121	0.00001
Microbacterium terricola	344163	S	87	0	87	0.00001
Microbacterium arborescens	33883	S	84	0	84	0.00001
Microbacterium atlanticum	2782168	S	79	15	94	0.00001
Microbacterium hydrocarbonoxydans	273678	S	56	17	73	0.00001
Microbacterium liquefaciens	33918	S	39	0	39	0.00000
Curtobacterium sp. 9128	1793722	S	244	0	244	0.00003
Curtobacterium sp. BH-2-1-1	1905847	S	189	583	772	0.00009
Curtobacterium sp. YC1	2795488	S	187	659	846	0.00009
Curtobacterium sp. MCSS17_015	2175666	S	185	0	185	0.00002
Curtobacterium sp. TC1	2862880	S	151	0	151	0.00002
Curtobacterium sp. MCBD17_040	2175674	S	151	0	151	0.00002
Curtobacterium sp. MCPF17_002	2175645	S	118	0	118	0.00001
Curtobacterium sp. DN_7.5	3049047	S	109	0	109	0.00001
Curtobacterium sp. MCLR17_007	2175648	S	94	0	94	0.00001
Curtobacterium sp. L6-1	2841594	S	84	0	84	0.00001
Curtobacterium sp. MR_MD2014	1561023	S	80	385	465	0.00005
Curtobacterium sp. 458	3050069	S	79	0	79	0.00001
Curtobacterium sp. SGAir0471	2070337	S	72	360	432	0.00005
Curtobacterium sp. MCLR17_036	2175620	S	66	0	66	0.00001
Curtobacterium sp. MCSS17_007	2175646	S	58	0	58	0.00001
Curtobacterium sp. MCLR17_032	2175650	S	50	0	50	0.00001
Curtobacterium sp. MCBD17_026	2175621	S	44	0	44	0.00000
Curtobacterium sp. 24E2	2804758	S	40	111	151	0.00002
Curtobacterium sp. MCBA15_012	1898738	S	39	0	39	0.00000
Curtobacterium sp. MCPF17_052	2175655	S	39	0	39	0.00000
Curtobacterium sp. MCSS17_016	2175644	S	29	0	29	0.00000
Curtobacterium sp. TXMA1	2876939	S	26	0	26	0.00000
Curtobacterium sp. MCSS17_005	2175641	S	19	0	19	0.00000
Curtobacterium sp. MCJR17_020	2175619	S	18	0	18	0.00000
Curtobacterium sp. MCJR17_043	2175660	S	17	0	17	0.00000
Curtobacterium sp. MCLR17_058	2175635	S	14	0	14	0.00000
Curtobacterium sp. MCBA15_004	1898733	S	13	0	13	0.00000
Curtobacterium flaccumfaciens	2035	S	332	47	379	0.00004
Agromyces sp. LHK192	2498704	S	198	52	250	0.00003
Agromyces sp. H17E-10	2932244	S	91	0	91	0.00001
Agromyces intestinalis	2592652	S	272	66	338	0.00004
Agromyces mangrovi	1858653	S	226	0	226	0.00002
Agromyces archimandritae	2781962	S	222	51	273	0.00003
Agromyces soli	659012	S	220	0	220	0.00002
Agromyces aureus	453304	S	200	61	261	0.00003
Agromyces protaetiae	2509455	S	197	61	258	0.00003
Agromyces flavus	589382	S	161	50	211	0.00002
Agromyces laixinhei	2585717	S	131	33	164	0.00002
Agromyces marinus	1389020	S	126	0	126	0.00001
Agromyces badenianii	2080742	S	118	45	163	0.00002
Agromyces larvae	2929802	S	113	0	113	0.00001
Leucobacter sp. NB 10	2873270	S	180	0	180	0.00002
Leucobacter sp. CX169	2813744	S	104	35	139	0.00002
Leucobacter sp. Psy1	2875729	S	68	0	68	0.00001
Leucobacter triazinivorans	1784719	S	307	158	465	0.00005
Leucobacter allii	2932247	S	235	0	235	0.00003
Leucobacter insecticola	2714934	S	231	28	259	0.00003
Leucobacter aridicollis	283878	S	142	0	142	0.00002
Leucobacter coleopterorum	2714933	S	128	35	163	0.00002
Leucobacter rhizosphaerae	2932245	S	122	0	122	0.00001
Leucobacter viscericola	2714935	S	93	24	117	0.00001
Leucobacter luti	340320	S	89	0	89	0.00001
Leucobacter muris	1935379	S	83	22	105	0.00001
Leucobacter denitrificans	683042	S	62	13	75	0.00001
Rathayibacter sp. VKM Ac-2804	2609257	S	417	263	680	0.00007
Rathayibacter sp. VKM Ac-2760	2609253	S	74	31	105	0.00001
Rathayibacter sp. VKM Ac-2759	2609252	S	66	18	84	0.00001
Rathayibacter sp. VKM Ac-2762	2609254	S	22	160	182	0.00002
Rathayibacter sp. VKM Ac-2801	2609255	S	19	33	52	0.00001
Rathayibacter sp. VKM Ac-2805	2609258	S	12	92	104	0.00001
Rathayibacter festucae	110937	S	158	99	257	0.00003
Rathayibacter tritici	33888	S	143	26	169	0.00002
Rathayibacter tanaceti	1671680	S	112	19	131	0.00001
Rathayibacter toxicus	145458	S	82	4	86	0.00001
Rathayibacter iranicus	59737	S	75	6	81	0.00001
Rathayibacter rathayi	33887	S	66	10	76	0.00001
Rathayibacter oskolensis	1891671	S	25	0	25	0.00000
Leifsonia sp. 21MFCrub1.1	1798223	S	244	851	1095	0.00012
Leifsonia sp. ZF2019	2781978	S	190	0	190	0.00002
Leifsonia sp. PS1209	2724914	S	148	44	192	0.00002
Leifsonia shinshuensis	150026	S	136	35	171	0.00002
Leifsonia xyli	1575	S	112	21	133	0.00001
Cryobacterium sp. LW097	1978566	S	305	96	401	0.00004
Cryobacterium sp. SO2	1897060	S	265	0	265	0.00003
Cryobacterium sp. SO1	1897061	S	265	0	265	0.00003
Cryobacterium sp. PAMC25264	2861288	S	66	0	66	0.00001
Cryobacterium arcticum	670052	S	188	140	328	0.00004
Cryobacterium breve	1259258	S	169	0	169	0.00002
Cryobacterium soli	2220095	S	134	94	228	0.00003
Agrococcus sp. REN33	3068634	S	333	0	333	0.00004
Agrococcus sp. Marseille-Q4369	2810513	S	228	0	228	0.00003
Agrococcus sp. SL85	2995141	S	185	0	185	0.00002
Agrococcus sp. SGAir0287	2070347	S	178	38	216	0.00002
Agrococcus sp. SCSIO52902	2933290	S	137	0	137	0.00002
Agrococcus carbonis	684552	S	231	102	333	0.00004
Agrococcus jejuensis	399736	S	179	43	222	0.00002
Microcella sp.	1913979	S	102	0	102	0.00001
Microcella sp. MMS21-STM10	2963406	S	84	0	84	0.00001
Chryseoglobus sp. 28M-23	2772253	S	38	12	50	0.00001
Microcella sp. MMS21-STM12	2994971	S	24	0	24	0.00000
Microcella sp. MMS21-STM26	2994972	S	14	0	14	0.00000
Microcella flavibacter	1804990	S	291	0	291	0.00003
Microcella alkaliphila	279828	S	65	9	74	0.00001
Microcella indica	2750620	S	45	15	60	0.00001
Clavibacter michiganensis	28447	S	600	202	802	0.00009
Clavibacter sp. A6099	2860285	S	55	0	55	0.00001
Clavibacter zhangzhiyongii	2768071	S	55	70	125	0.00001
Clavibacter californiensis	1401995	S	26	0	26	0.00000
Clavibacter phaseoli	1734031	S	18	0	18	0.00000
Protaetiibacter sp. SSC-01	2759943	S	399	151	550	0.00006
Protaetiibacter intestinalis	2419774	S	165	61	226	0.00002
Protaetiibacter larvae	2592654	S	164	50	214	0.00002
Salinibacterium sp. ZJ70	2708084	S	201	64	265	0.00003
Salinibacterium sp. ZJ450	2708338	S	144	24	168	0.00002
Salinibacterium sp. dk2585	2603292	S	113	22	135	0.00001
Salinibacterium sp. M195	2583374	S	67	0	67	0.00001
Salinibacterium sp. UTAS2018	2508880	S	60	3	63	0.00001
Salinibacterium hongtaonis	2079791	S	92	8	100	0.00001
Frondihabitans sp. 762G35	1446794	S	268	45	313	0.00003
Frondihabitans sp. PAMC 28766	1795630	S	171	15	186	0.00002
Frondihabitans sp. HNR	3031408	S	60	0	60	0.00001
Frondihabitans sucicola	1268041	S	88	0	88	0.00001
Herbiconiux sp. L3-i23	2905871	S	363	0	363	0.00004
Herbiconiux sp. SALV-R1	2735133	S	206	33	239	0.00003
Rhodoluna limnophila	232537	S	129	38	167	0.00002
Rhodoluna lacicola	529884	S	91	32	123	0.00001
Candidatus Rhodoluna planktonica	535712	S	22	2	24	0.00000
Rhodoluna sp. KAS3	942880	S	13	0	13	0.00000
Aquiluna sp. KACHI24	2968831	S	98	0	98	0.00001
Candidatus Aquiluna sp. UB-MaderosW2red	1855377	S	59	3	62	0.00001
Aquiluna borgnonia	2499157	S	46	4	50	0.00001
Gryllotalpicola protaetiae	2419771	S	478	67	545	0.00006
Frigoribacterium sp. SL97	2994664	S	231	0	231	0.00003
Frigoribacterium sp. NBH87	2596916	S	208	49	257	0.00003
Gulosibacter sediminis	1729695	S	250	0	250	0.00003
Gulosibacter molinativorax	256821	S	187	0	187	0.00002
Plantibacter sp. M259	2583822	S	110	78	188	0.00002
Plantibacter sp. PA-3-X8	2480625	S	71	51	122	0.00001
Plantibacter flavus	150123	S	90	56	146	0.00002
Microterricola viridarii	412690	S	324	64	388	0.00004
Subtercola sp. AK-R2A1-2	2895559	S	167	0	167	0.00002
Subtercola sp. PAMC28395	2846775	S	155	0	155	0.00002
Mycetocola spongiae	2859226	S	118	0	118	0.00001
Mycetocola sp. JXN-3	2116510	S	79	11	90	0.00001
Mycetocola zhujimingii	2079792	S	74	8	82	0.00001
Agreia sp. COWG	2773266	S	267	29	296	0.00003
Cnuibacter physcomitrellae	1619308	S	257	2015	2272	0.00025
Humibacter ginsenosidimutans	2599293	S	244	77	321	0.00004
Aurantimicrobium sp. MWH-Uga1	2079575	S	67	35	102	0.00001
Aurantimicrobium sp. INA4	2986279	S	49	0	49	0.00001
Aurantimicrobium photophilum	1987356	S	68	6	74	0.00001
Aurantimicrobium minutum	708131	S	15	8	23	0.00000
Glaciihabitans sp. INWT7	2596912	S	234	12	246	0.00003
Marisediminicola antarctica	674079	S	151	14	165	0.00002
Homoserinibacter sp. YIM 151385	2985506	S	145	0	145	0.00002
Pseudoclavibacter sp. Marseille-Q3772	2866588	S	144	0	144	0.00002
Naasia aerilata	1162966	S	116	0	116	0.00001
Diaminobutyricimonas sp. LJ205	2683590	S	86	12	98	0.00001
Pontimonas salivibrio	1159327	S	84	2	86	0.00001
Arthrobacter sp. ATA002	2991715	S	367	0	367	0.00004
Arthrobacter sp. U41	1849032	S	312	167	479	0.00005
Arthrobacter sp. 24S4-2	2575374	S	266	122	388	0.00004
Arthrobacter sp. NicSoilB4	2830997	S	250	0	250	0.00003
Arthrobacter sp. NtRootA1	2830983	S	249	0	249	0.00003
Arthrobacter sp. CDRTa11	2651199	S	234	0	234	0.00003
Arthrobacter sp. NicSoilB8	2830998	S	209	0	209	0.00002
Arthrobacter sp. YC-RL1	1652545	S	205	166	371	0.00004
Arthrobacter sp. PM3	2017685	S	179	62	241	0.00003
Arthrobacter sp. EM1	3043847	S	178	0	178	0.00002
Arthrobacter sp. PGP41	2079227	S	172	63	235	0.00003
Arthrobacter sp. QXT-31	1357915	S	172	48	220	0.00002
Arthrobacter sp. MMS18-M83	2996261	S	170	0	170	0.00002
Arthrobacter sp. CJ23	2972479	S	169	0	169	0.00002
Arthrobacter sp. ERGS1:01	1704044	S	160	33	193	0.00002
Arthrobacter sp. PAMC25284	2861279	S	147	0	147	0.00002
Arthrobacter sp. PAMC25564	2565366	S	139	62	201	0.00002
Arthrobacter sp. KBS0702	2578107	S	138	187	325	0.00004
Arthrobacter sp. FW305-BF8	2879617	S	138	0	138	0.00002
Arthrobacter sp. FB24	290399	S	137	140	277	0.00003
Arthrobacter sp. zg-Y820	2894192	S	133	0	133	0.00001
Arthrobacter sp. Y-9	3039385	S	122	0	122	0.00001
Arthrobacter sp. zg-Y919	2894187	S	120	0	120	0.00001
Arthrobacter sp. YA7-1	2987701	S	107	0	107	0.00001
Arthrobacter sp. D5-1	1477518	S	105	436	541	0.00006
Arthrobacter sp. zg-Y815	2964616	S	101	0	101	0.00001
Arthrobacter sp. StoSoilB5	2830992	S	90	0	90	0.00001
Arthrobacter sp. UKPF54-2	2600159	S	87	125	212	0.00002
Arthrobacter sp. FW306-2-2C-D06B	2879618	S	86	0	86	0.00001
Arthrobacter sp. DNA4	2963432	S	80	0	80	0.00001
Arthrobacter sp. PAMC 25486	1494608	S	76	11	87	0.00001
Arthrobacter sp. zg-Y1171	2964610	S	65	0	65	0.00001
Arthrobacter sp. NEB 688	904039	S	62	31	93	0.00001
Arthrobacter sp. zg-Y1110	2886932	S	55	0	55	0.00001
Arthrobacter sp. Helios	2828862	S	50	0	50	0.00001
Arthrobacter sp. NicSoilC5	2831000	S	50	0	50	0.00001
Arthrobacter sp. StoSoilB22	2830996	S	50	0	50	0.00001
Arthrobacter sp. StoSoilB13	2830993	S	49	0	49	0.00001
Arthrobacter sp. zg-Y20	2886938	S	48	0	48	0.00001
Arthrobacter sp. StoSoilB20	2830995	S	48	0	48	0.00001
Arthrobacter sp. StoSoilA2	2830990	S	41	0	41	0.00000
Arthrobacter sp. zg-Y859	2964609	S	38	0	38	0.00000
Arthrobacter sp. YN	2020486	S	31	98	129	0.00001
Arthrobacter sp. FW306-06-A	2879621	S	23	0	23	0.00000
Arthrobacter sp. FW306-07-I	2879622	S	11	0	11	0.00000
Arthrobacter crystallopoietes	37928	S	571	80	651	0.00007
Arthrobacter agilis	37921	S	523	36	559	0.00006
Arthrobacter caoxuetaonis	2886935	S	358	0	358	0.00004
Arthrobacter gengyunqii	2886940	S	310	0	310	0.00003
Arthrobacter alpinus	656366	S	290	842	1132	0.00012
Arthrobacter zhangbolii	2886936	S	279	0	279	0.00003
Arthrobacter antioxidans	2895818	S	245	0	245	0.00003
Arthrobacter citreus	1670	S	210	6	216	0.00002
Arthrobacter oryzae	409290	S	209	0	209	0.00002
Arthrobacter koreensis	199136	S	181	0	181	0.00002
Arthrobacter polaris	2813727	S	180	0	180	0.00002
Arthrobacter sulfonylureivorans	2486855	S	164	0	164	0.00002
Arthrobacter dokdonellae	2211210	S	160	14	174	0.00002
Arthrobacter jiangjiafuii	2817475	S	112	0	112	0.00001
Arthrobacter woluwensis	156980	S	85	10	95	0.00001
Arthrobacter sunyaminii	2816859	S	77	0	77	0.00001
Kocuria palustris	71999	S	310	93	403	0.00004
Kocuria rosea	1275	S	296	49	345	0.00004
Kocuria turfanensis	388357	S	250	49	299	0.00003
Kocuria varians	1272	S	243	93	336	0.00004
Kocuria rhizophila	72000	S	191	365	556	0.00006
Kocuria flava	446860	S	181	46	227	0.00003
Kocuria sp. TGY1127_2	2711328	S	121	20	141	0.00002
Kocuria sp. KD4	2719588	S	20	21	41	0.00000
Rothia mucilaginosa	43675	S	560	44	604	0.00007
Rothia sp. ZJ932	2810516	S	201	17	218	0.00002
Rothia sp. SD9660Na	3047030	S	199	0	199	0.00002
Rothia aeria	172042	S	207	42	249	0.00003
Rothia kristinae	37923	S	171	111	282	0.00003
Rothia terrae	396015	S	159	21	180	0.00002
Rothia nasimurium	85336	S	74	6	80	0.00001
Rothia amarae	169480	S	71	6	77	0.00001
Rothia dentocariosa	2047	S	63	14	77	0.00001
Pseudarthrobacter sp. NS4	2973976	S	261	0	261	0.00003
Pseudarthrobacter sp. BIM B-2242	2772401	S	182	36	218	0.00002
Pseudarthrobacter sp. L1SW	2851598	S	156	0	156	0.00002
Pseudarthrobacter sp. MM222	3018929	S	108	0	108	0.00001
Pseudarthrobacter sp. NBSH8	2596911	S	58	21	79	0.00001
Pseudarthrobacter sp. NIBRBAC000502772	2590775	S	40	46	86	0.00001
Pseudarthrobacter sp. SSS035	2931399	S	30	0	30	0.00000
Pseudarthrobacter sp. NIBRBAC000502770	2590785	S	25	42	67	0.00001
Pseudarthrobacter sp. NIBRBAC000502771	2590774	S	19	33	52	0.00001
Pseudarthrobacter phenanthrenivorans	361575	S	138	114	252	0.00003
Pseudarthrobacter equi	728066	S	107	50	157	0.00002
Pseudarthrobacter psychrotolerans	2697569	S	106	47	153	0.00002
Pseudarthrobacter chlorophenolicus	85085	S	79	39	118	0.00001
Pseudarthrobacter sulfonivorans	121292	S	24	31	55	0.00001
Pseudarthrobacter defluvii	410837	S	21	0	21	0.00000
Micrococcus porci	2856555	S	325	0	325	0.00004
Micrococcus luteus	1270	S	250	622	872	0.00010
Micrococcus lylae	1273	S	196	0	196	0.00002
Glutamicibacter protophormiae	37930	S	202	129	331	0.00004
Glutamicibacter arilaitensis	256701	S	178	84	262	0.00003
Glutamicibacter creatinolyticus	162496	S	176	16	192	0.00002
Glutamicibacter halophytocola	1933880	S	134	17	151	0.00002
Glutamicibacter sp. JL.03c	2984842	S	67	0	67	0.00001
Glutamicibacter sp. M10	3023076	S	57	0	57	0.00001
Glutamicibacter nicotianae	37929	S	86	269	355	0.00004
Glutamicibacter mishrai	1775880	S	56	10	66	0.00001
Glutamicibacter mysorens	257984	S	25	0	25	0.00000
Sinomonas sp. R1AF57	2020377	S	566	49	615	0.00007
Sinomonas atrocyanea	37927	S	342	38	380	0.00004
Paenarthrobacter sp. JL.01a	2979324	S	188	0	188	0.00002
Paenarthrobacter sp. YJN-5	2735316	S	16	324	340	0.00004
Paenarthrobacter sp. OM7	3041264	S	10	0	10	0.00000
Paenarthrobacter aurescens	43663	S	40	793	833	0.00009
Paenarthrobacter ureafaciens	37931	S	23	731	754	0.00008
Paenarthrobacter nicotinovorans	29320	S	10	137	147	0.00002
Citricoccus sp. SGAir0253	2567881	S	251	35	286	0.00003
Citricoccus sp. NR2	3004095	S	199	0	199	0.00002
Citricoccus muralis	169134	S	23	0	23	0.00000
Nesterenkonia sp. NBAIMH1	2600320	S	68	1	69	0.00001
